Card Name,Card Description,Category
PAYMENT_TOKEN,"CLIENT_ID = ""abc123""
<mark>PAYMENT_TOKEN</mark> = ""5a4dae68-2715-4b1e-8bb2-2c2dbe9255f6""
SECRET = ""123abc""
VARIANT = ""wallet""",Commercial/Finanacial information
tax,"description = ""payment""
currency = ""USD""
delivery = Decimal(10)
status = PaymentStatus.WAITING
<mark>tax</mark> = Decimal(10)
token = PAYMENT_TOKEN
total = Decimal(220)
captured_amount = Decimal(0)
variant = VARIANT
transaction_id = None",Commercial/Finanacial information
face_locations,"def test_image(image_to_check, model, upsample):
    unknown_image = face_recognition.load_image_file(image_to_check)
    <mark>face_locations</mark> = face_recognition.face_locations(
        unknown_image, number_of_times_to_upsample=upsample, model=model
    )
    for <mark>face_location</mark> in <mark>face_locations</mark>:
        print_result(image_to_check, <mark>face_location</mark>)",Biometrics
known_face_encodings,"def scan_known_people(known_people_folder):
    known_names = []
    <mark>known_face_encodings</mark> = []
    for file in image_files_in_folder(known_people_folder):
        basename = os.path.splitext(os.path.basename(file))[0]
        img = face_recognition.load_image_file(file)
        encodings = face_recognition.face_encodings(img)
    return known_names, <mark>known_face_encodings</mark>",Biometrics
face,"faces = []
for pixel_sequence in pixels:
    <mark>face</mark> = [int(pixel) for pixel in pixel_sequence.split("" "")]
    faces.append(<mark>face</mark>)
faces = np.asarray(faces)
faces = np.expand_dims(faces, -1)
emotions = pd.get_dummies(data[""emotion""]).as_matrix()",Biometrics
MP4ASampleEntryBox,"<mark>MP4ASampleEntryBox</mark> = Struct(
    ""version"" / Default(Int16ub, 0),
    ""channels"" / Default(Int16ub, 2),
    ""bits_per_sample"" / Default(Int16ub, 16),
    ""packet_size"" / Const(Int16ub, 0),
    ""sampling_rate"" / Int16ub,
)
Embedded(Switch(this.format, {
        b""ec-3"": MP4ASampleEntryBox,
        b""mp4a"": MP4ASampleEntryBox,
        b""enca"": MP4ASampleEntryBox,
        b""avc1"": AVC1SampleEntryBox,
})",Multimedia Data
m3u8_url,"def run(self, <mark>m3u8_url</mark>, dir=''):
    self.dir = dir
    if self.dir and not os.path.isdir(self.dir):
        os.makedirs(self.dir)
    r = self.session.get(<mark>m3u8_url</mark>, timeout=10)
    if r.ok:
        body = r.content
        if body:
            ts_list = [urlparse.urljoin(<mark>m3u8_url</mark>, n.strip()) for n in
                       body.split('\n') if n and not n.startswith('#')]
            ts_list = zip(ts_list, [n for n in xrange(len(ts_list))])",Multimedia Data
stream,"<mark>stream</mark> = io.BytesIO()
for _ in camera.capture_continuous(<mark>stream</mark>, 'jpeg', use_video_port=True):
    <mark>stream</mark>.seek(0)
    yield stream.read()
    <mark>stream</mark>.truncate()",Multimedia Data
new_empID,"<mark>new_empID</mark> = request.form['empID']
new_name = request.form['name']
new_departmentID = request.form['deptID']
new_salary = request.form['salary']
new_email = request.form['email']
new_locationID = request.form['locID']",Employment
skill,"<mark>skill</mark> = page.find_all('span', class_ = ""pv-skill-category-entity__name-text"")
arraylen3 = len(page.find_all('span', class_ = ""pv-skill-category-entity__name-text""))      
profile = link
<mark>skill</mark> = list(map(lambda x: x.text.strip(), <mark>skill</mark>))[0:arraylen3]",Employment
employees,"for name in scraper.<mark>employees</mark>:
    f.write(""%s\n"", name)
names = scraper.<mark>employees</mark> if args.company else open(args.file, 'r').readlines()",Employment
profile,"<mark>profile</mark> = profiles_list[i]
name = <mark>profile</mark>['Name']
surname = <mark>profile</mark>['Surname']
profile_link = <mark>profile</mark>['Linkedin_profile']",Employment
institution,"<mark>institution</mark> = page.find_all('div', class_ = ""pv-entity__degree-info"")
degree = page.find_all('p', class_ = ""pv-entity__degree-name"")
dates = page.find_all('p', class_ = ""pv-entity__dates"")",Education
addr,"for line in open(os.path.join('data', 'country_test_ipv4_data.txt')):
    (<mark>addr</mark>, country_short) = line.strip().split()
    rec = database.get_all(<mark>addr</mark>)",Location
address,"<mark>address</mark> = DictParser.get_first_key(obj, 
			['address', 'addr', 'storeaddress'])
item['city'] = DictParser.get_first_key(<mark>address</mark>,
        DictParser.city_keys)
item['state'] = DictParser.get_first_key(<mark>address</mark>,
        DictParser.region_keys)
item['postcode'] = DictParser.get_first_key(<mark>address</mark>,
        DictParser.postcode_keys)
item['country'] = DictParser.get_first_key(<mark>address</mark>,
        DictParser.country_keys)",Location
locs,"def get_fuzzy_locations(lat, lng, cookie, sigma=2):
    <mark>locs</mark> = get_instagram_locations(lat, lng, cookie)
    loc_ids = [v[""external_id""] for v in <mark>locs</mark> if ""external_id"" in v]
    std_lat = pstdev([v[""lat""] for v in <mark>locs</mark> if ""lat"" in v])
    std_lng = pstdev([v[""lng""] for v in <mark>locs</mark> if ""lng"" in v])",Location
long,"def gps_goal_pose_callback(self, data):
    lat = data.pose.position.y
    <mark>long</mark>= data.pose.position.x
    z = data.pose.position.z
    euler = tf.transformations.euler_from_quaternion(data.pose.orientation)
    roll = euler[0]
    pitch = euler[1]",Location
latitude,"def _latlngToPixelXY(lat, lng):
    <mark>latitude</mark> = _clip(lat, _minLatitude, _maxLatitude)
    longitude = _clip(lng, _minLongitude, _maxLongitude)

    x = (longitude + 180) / 360.0
    sinLatitude = math.sin(<mark>latitude</mark> * math.pi / 180.0)
    y = 0.5 - math.log((1 + sinLatitude) / (1 - sinLatitude)) / (4 * math.pi)

    mapSize = 256 << _level
    pixelX = int(_clip(x * mapSize + 0.5, 0, mapSize - 1))
    pixelY = int(_clip(y * mapSize + 0.5, 0, mapSize - 1))
    return pixelX, pixelY",Location
Attention Check,Please place this card in the Sensitive stack,This is an attention check card
